3 1000
-31575.880859 21874.326172 18581.705078

-37627.386719 28830.318359 25443.289062
20376.132812 35112.996094 7807.641113
-32126.632812 22802.310547 17759.236328

-36778.699219 28638.466797 25915.781250
20435.951172 34761.558594 8021.511719
-32700.525391 23776.830078 16988.314453

-35854.863281 28374.017578 26248.300781
20486.765625 34408.519531 8237.278320
-33289.480469 24791.652344 16282.638672

-34877.964844 28055.621094 26422.472656
20528.511719 34054.050781 8454.857422
-33882.296875 25837.019531 15651.605469

-33872.476562 27705.759766 26432.162109
20561.132812 33698.324219 8674.173828
-34466.589844 26901.271484 15098.470703

-32860.792969 27346.544922 26283.298828
20584.572266 33341.500000 8895.159180
-35031.027344 27972.939453 14620.438477

-31860.199219 26996.462891 25990.488281
20598.773438 32983.738281 9117.753906
-35566.828125 29042.384766 14210.357422

-30881.998047 26669.000000 25572.611328
20603.677734 32625.187500 9341.903320
-36068.187500 30102.492188 13858.923828

-29932.191406 26372.832031 25049.242188
20599.218750 32265.992188 9567.555664
-36531.941406 31148.564453 13556.476562

-29012.798828 26112.791016 24438.505859
20585.318359 31906.285156 9794.662109
-36956.886719 32177.851562 13294.079102

-28123.169922 25890.964844 23756.130859
20561.892578 31546.195312 10023.172852
-37343.136719 33188.988281 13063.989258

-27261.015625 25707.640625 23015.279297
20528.841797 31185.845703 10253.037109
-37691.585938 34181.523438 12859.754883

-26423.123047 25562.000000 22226.753906
20486.054688 30825.353516 10484.198242
-38003.562500 35155.574219 12676.113281

-25605.818359 25452.583984 21399.341797
20433.404297 30464.832031 10716.596680
-38280.589844 36111.585938 12508.822266

-24805.244141 25377.603516 20540.179688
20370.751953 30104.392578 10950.165039
-38524.246094 37050.171875 12354.483398

-24017.519531 25335.125000 19655.087891
20297.941406 29744.146484 11184.826172
-38736.082031 37972.027344 12210.375977

-23238.822266 25323.185547 18748.851562
20214.800781 29384.205078 11420.493164
-38917.578125 38877.851562 12074.325195

-22465.431641 25339.849609 17825.457031
20121.142578 29024.677734 11657.067383
-39070.125000 39768.335938 11944.587891

-21693.738281 25383.244141 16888.271484
20016.759766 28665.679688 11894.433594
-39195.015625 40644.132812 11819.765625

-20920.240234 25451.566406 15940.197266
19901.429688 28307.330078 12132.459961
-39293.441406 41505.847656 11698.736328

-20141.533203 25543.085938 14983.795898
19774.912109 27949.751953 12370.996094
-39366.503906 42354.031250 11580.596680

-19354.296875 25656.134766 14021.384766
19636.949219 27593.076172 12609.868164
-39415.214844 43189.195312 11464.622070

-18555.283203 25789.095703 13055.123047
19487.265625 27237.445312 12848.876953
-39440.511719 44011.792969 11350.231445

-17741.302734 25940.386719 12087.082031
19325.568359 26883.007812 13087.792969
-39443.257812 44822.238281 11236.962891

-16909.214844 26108.445312 11119.307617
19151.548828 26529.931641 13326.353516
-39424.250000 45620.902344 11124.449219

-16055.926758 26291.707031 10153.876953
18964.882812 26178.394531 13564.257812
-39384.226562 46408.113281 11012.403320

